Id,Path
101,Assets/Effect/Fire3.efk
102,Assets/Effect/FireBolt_hit.efk
201,Assets/Effect/LightningStrike.efk
202,Assets/Effect/chain_hit.efk
203,Assets/Effect/chain_chace.efk
301,Assets/Effect/Light3.efk
302,Assets/Effect/Light4.efk
303,Assets/Effect/HitEffect.efk
304,Assets/Effect/Skill1Hit.efk
401,Assets/Effect/Sword1.efk
402,Assets/Effect/Sword6.efk
501,Assets/Effect/PhantasmMeteor.efk
502,Assets/Effect/meteor.efk
601,Assets/Effect/hougu_pre.efk
602,Assets/Effect/hougu_main.efk
701,Assets/Effect/Nova.efk
702,Assets/Effect/Orbit.efk
801,Assets/Effect/AttackHit.efk
802,Assets/Effect/Blow2.efk
